19:26:27 run head-lda (git 6132025)
19:26:27 config:
task: task1
ckpt_path: hf://medarc/walnut/checkpoints/pretrain_full_90_10_h100/checkpoint-last.pth
modalities:
- dwi_b1000
output_root: experiments/task1_heads/output
name: head-lda
device: cuda
seed: 4466
pooling: mean
sweet_k: 8
top_k: 32
masking: zero
normalize_volume: false
normalize_test_volume: false
head: lda
head_scoring: roc_auc
head_C: 1.0
scaler: true
19:26:30 dataset: 21 subjects, 13 positive
19:27:00 fold 1/21 sub-01 y=1 p=1.000 (23s)
19:27:13 fold 2/21 sub-02 y=1 p=1.000 (36s)
19:27:23 fold 3/21 sub-03 y=0 p=0.000 (46s)
19:27:33 fold 4/21 sub-04 y=1 p=0.000 (56s)
19:27:45 fold 5/21 sub-05 y=1 p=1.000 (68s)
19:27:57 fold 6/21 sub-06 y=1 p=0.997 (80s)
19:28:14 fold 7/21 sub-07 y=0 p=0.000 (97s)
19:28:35 fold 8/21 sub-08 y=0 p=0.000 (118s)
19:28:58 fold 9/21 sub-09 y=1 p=1.000 (141s)
19:29:22 fold 10/21 sub-10 y=1 p=1.000 (166s)
19:29:49 fold 11/21 sub-11 y=0 p=0.000 (192s)
19:30:15 fold 12/21 sub-12 y=0 p=0.000 (218s)
19:30:41 fold 13/21 sub-13 y=1 p=1.000 (244s)
19:31:02 fold 14/21 sub-14 y=1 p=1.000 (265s)
19:31:24 fold 15/21 sub-15 y=0 p=0.000 (287s)
19:31:47 fold 16/21 sub-16 y=0 p=0.000 (310s)
19:32:10 fold 17/21 sub-17 y=1 p=1.000 (333s)
19:32:33 fold 18/21 sub-18 y=1 p=1.000 (356s)
19:32:53 fold 19/21 sub-19 y=1 p=1.000 (376s)
19:33:15 fold 20/21 sub-20 y=1 p=1.000 (398s)
19:33:36 fold 21/21 sub-21 y=0 p=0.000 (419s)
19:34:01 result: auroc=0.9423  auroc_ci_low=0.8163  auroc_ci_high=1.0000  (419s)
