19:33:32 run walnut-ensemble_head-fixed-C0.01 (git 6132025)
19:33:32 config:
task: task1
ckpt_path: hf://medarc/walnut/checkpoints/walnut-v0-1/vitl/sub-52k/checkpoint-last.pth
modalities:
- dwi_b1000
output_root: experiments/task1_heads/output
name: walnut-ensemble_head-fixed-C0.01
device: cuda
seed: 4466
pooling: ensemble
sweet_k: 8
top_k: 32
masking: zero
normalize_volume: true
normalize_test_volume: true
head: logistic
head_scoring: roc_auc
head_C: 0.01
scaler: true
19:33:35 dataset: 21 subjects, 13 positive
19:34:17 fold 1/21 sub-01 y=1 p=0.546 (28s)
19:34:29 fold 2/21 sub-02 y=1 p=0.644 (41s)
19:34:41 fold 3/21 sub-03 y=0 p=0.287 (52s)
19:34:51 fold 4/21 sub-04 y=1 p=0.401 (62s)
19:34:59 fold 5/21 sub-05 y=1 p=0.699 (70s)
19:35:08 fold 6/21 sub-06 y=1 p=0.587 (79s)
19:35:16 fold 7/21 sub-07 y=0 p=0.369 (87s)
19:35:25 fold 8/21 sub-08 y=0 p=0.171 (96s)
19:35:35 fold 9/21 sub-09 y=1 p=0.651 (106s)
19:35:45 fold 10/21 sub-10 y=1 p=0.495 (116s)
19:35:54 fold 11/21 sub-11 y=0 p=0.221 (126s)
19:36:03 fold 12/21 sub-12 y=0 p=0.162 (134s)
19:36:12 fold 13/21 sub-13 y=1 p=0.686 (144s)
19:36:23 fold 14/21 sub-14 y=1 p=0.724 (154s)
19:36:32 fold 15/21 sub-15 y=0 p=0.368 (164s)
19:36:39 fold 16/21 sub-16 y=0 p=0.316 (170s)
19:36:48 fold 17/21 sub-17 y=1 p=0.806 (180s)
19:36:57 fold 18/21 sub-18 y=1 p=0.591 (188s)
19:37:05 fold 19/21 sub-19 y=1 p=0.548 (197s)
19:37:12 fold 20/21 sub-20 y=1 p=0.684 (203s)
19:37:20 fold 21/21 sub-21 y=0 p=0.423 (211s)
19:37:41 result: auroc=0.9904  auroc_ci_low=0.9444  auroc_ci_high=1.0000  (211s)
