14:40:43 run ckpt-walnut_mask-mean_norm-none_pool-mean (git 82c3fb9)
14:40:43 config:
task: task1
ckpt_path: hf://medarc/walnut/checkpoints/walnut-v0-1/vitl/sub-52k/checkpoint-last.pth
modalities:
- dwi_b1000
output_root: experiments/task1_v2/output
name: ckpt-walnut_mask-mean_norm-none_pool-mean
device: cuda
seed: 4466
pooling: mean
sweet_k: 8
top_k: 32
masking: mean
normalize_volume: false
normalize_test_volume: false
14:40:46 dataset: 21 subjects, 13 positive
14:41:29 fold 1/21 sub-01 y=1 p=0.508 (14s)
14:41:33 fold 2/21 sub-02 y=1 p=0.504 (18s)
14:41:39 fold 3/21 sub-03 y=0 p=0.492 (24s)
14:41:43 fold 4/21 sub-04 y=1 p=0.489 (29s)
14:41:49 fold 5/21 sub-05 y=1 p=0.526 (34s)
14:41:54 fold 6/21 sub-06 y=1 p=0.496 (39s)
14:41:59 fold 7/21 sub-07 y=0 p=0.497 (45s)
14:42:06 fold 8/21 sub-08 y=0 p=0.486 (52s)
14:42:12 fold 9/21 sub-09 y=1 p=0.506 (57s)
14:42:16 fold 10/21 sub-10 y=1 p=0.517 (61s)
14:42:20 fold 11/21 sub-11 y=0 p=0.481 (65s)
14:42:24 fold 12/21 sub-12 y=0 p=0.474 (69s)
14:42:27 fold 13/21 sub-13 y=1 p=0.505 (72s)
14:42:30 fold 14/21 sub-14 y=1 p=0.541 (75s)
14:42:33 fold 15/21 sub-15 y=0 p=0.499 (78s)
14:42:36 fold 16/21 sub-16 y=0 p=0.486 (82s)
14:42:40 fold 17/21 sub-17 y=1 p=0.521 (85s)
14:42:41 fold 18/21 sub-18 y=1 p=0.512 (86s)
14:42:45 fold 19/21 sub-19 y=1 p=0.518 (90s)
14:42:49 fold 20/21 sub-20 y=1 p=0.523 (94s)
14:42:52 fold 21/21 sub-21 y=0 p=0.509 (97s)
14:42:58 result: auroc=0.8942  auroc_ci_low=0.7308  auroc_ci_high=1.0000  (97s)
