14:43:27 run ckpt-walnut_mask-zero_norm-none_pool-ensemble (git 82c3fb9)
14:43:27 config:
task: task1
ckpt_path: hf://medarc/walnut/checkpoints/walnut-v0-1/vitl/sub-52k/checkpoint-last.pth
modalities:
- dwi_b1000
output_root: experiments/task1_v2/output
name: ckpt-walnut_mask-zero_norm-none_pool-ensemble
device: cuda
seed: 4466
pooling: ensemble
sweet_k: 8
top_k: 32
masking: zero
normalize_volume: false
normalize_test_volume: false
14:43:29 dataset: 21 subjects, 13 positive
14:45:16 fold 1/21 sub-01 y=1 p=0.641 (63s)
14:45:42 fold 2/21 sub-02 y=1 p=0.684 (89s)
14:45:44 fold 3/21 sub-03 y=0 p=0.373 (92s)
14:47:26 fold 4/21 sub-04 y=1 p=0.396 (194s)
14:48:26 fold 5/21 sub-05 y=1 p=0.680 (254s)
14:49:32 fold 6/21 sub-06 y=1 p=0.420 (320s)
14:50:00 fold 7/21 sub-07 y=0 p=0.426 (347s)
14:51:03 fold 8/21 sub-08 y=0 p=0.211 (410s)
14:51:28 fold 9/21 sub-09 y=1 p=0.439 (436s)
14:52:10 fold 10/21 sub-10 y=1 p=0.500 (477s)
14:52:26 fold 11/21 sub-11 y=0 p=0.249 (494s)
14:52:34 fold 12/21 sub-12 y=0 p=0.131 (502s)
14:52:53 fold 13/21 sub-13 y=1 p=0.708 (521s)
14:53:06 fold 14/21 sub-14 y=1 p=0.812 (534s)
14:53:35 fold 15/21 sub-15 y=0 p=0.441 (563s)
14:54:22 fold 16/21 sub-16 y=0 p=0.396 (610s)
14:54:31 fold 17/21 sub-17 y=1 p=0.876 (619s)
14:54:40 fold 18/21 sub-18 y=1 p=0.476 (628s)
14:54:52 fold 19/21 sub-19 y=1 p=0.523 (640s)
14:55:24 fold 20/21 sub-20 y=1 p=0.650 (672s)
14:55:40 fold 21/21 sub-21 y=0 p=0.518 (688s)
14:56:03 result: auroc=0.9038  auroc_ci_low=0.7499  auroc_ci_high=1.0000  (688s)
