14:40:43 run ckpt-walnut_mask-zero_norm-train_pool-mean (git 82c3fb9)
14:40:43 config:
task: task1
ckpt_path: hf://medarc/walnut/checkpoints/walnut-v0-1/vitl/sub-52k/checkpoint-last.pth
modalities:
- dwi_b1000
output_root: experiments/task1_v2/output
name: ckpt-walnut_mask-zero_norm-train_pool-mean
device: cuda
seed: 4466
pooling: mean
sweet_k: 8
top_k: 32
masking: zero
normalize_volume: true
normalize_test_volume: false
14:40:46 dataset: 21 subjects, 13 positive
14:41:28 fold 1/21 sub-01 y=1 p=0.504 (13s)
14:41:34 fold 2/21 sub-02 y=1 p=0.509 (19s)
14:41:41 fold 3/21 sub-03 y=0 p=0.482 (26s)
14:41:46 fold 4/21 sub-04 y=1 p=0.491 (31s)
14:41:51 fold 5/21 sub-05 y=1 p=0.526 (36s)
14:41:56 fold 6/21 sub-06 y=1 p=0.502 (41s)
14:42:00 fold 7/21 sub-07 y=0 p=0.496 (45s)
14:42:06 fold 8/21 sub-08 y=0 p=0.488 (52s)
14:42:14 fold 9/21 sub-09 y=1 p=0.510 (59s)
14:42:41 fold 10/21 sub-10 y=1 p=0.511 (87s)
14:43:05 fold 11/21 sub-11 y=0 p=0.393 (110s)
14:43:06 fold 12/21 sub-12 y=0 p=0.098 (111s)
14:43:06 fold 13/21 sub-13 y=1 p=0.503 (112s)
14:43:07 fold 14/21 sub-14 y=1 p=0.538 (112s)
14:43:07 fold 15/21 sub-15 y=0 p=0.501 (112s)
14:43:08 fold 16/21 sub-16 y=0 p=0.487 (113s)
14:43:08 fold 17/21 sub-17 y=1 p=0.528 (113s)
14:43:08 fold 18/21 sub-18 y=1 p=0.512 (114s)
14:43:09 fold 19/21 sub-19 y=1 p=0.510 (114s)
14:43:09 fold 20/21 sub-20 y=1 p=0.524 (115s)
14:43:10 fold 21/21 sub-21 y=0 p=0.512 (115s)
14:43:12 result: auroc=0.8942  auroc_ci_low=0.6939  auroc_ci_high=1.0000  (115s)
