14:34:29 run mask-zero_norm-both_pool-mean (git 82c3fb9)
14:34:29 config:
task: task1
ckpt_path: hf://medarc/walnut/checkpoints/pretrain_full_90_10_h100/checkpoint-last.pth
modalities:
- dwi_b1000
output_root: experiments/task1_v2/output
name: mask-zero_norm-both_pool-mean
device: cuda
seed: 4466
pooling: mean
sweet_k: 8
top_k: 32
masking: zero
normalize_volume: true
normalize_test_volume: true
14:34:31 dataset: 21 subjects, 13 positive
14:34:49 fold 1/21 sub-01 y=1 p=0.507 (11s)
14:34:51 fold 2/21 sub-02 y=1 p=0.519 (13s)
14:34:54 fold 3/21 sub-03 y=0 p=0.001 (16s)
14:34:57 fold 4/21 sub-04 y=1 p=0.508 (19s)
14:35:00 fold 5/21 sub-05 y=1 p=0.503 (21s)
14:35:01 fold 6/21 sub-06 y=1 p=0.494 (23s)
14:35:04 fold 7/21 sub-07 y=0 p=0.029 (26s)
14:35:07 fold 8/21 sub-08 y=0 p=0.495 (29s)
14:35:08 fold 9/21 sub-09 y=1 p=0.525 (30s)
14:35:10 fold 10/21 sub-10 y=1 p=0.515 (32s)
14:35:14 fold 11/21 sub-11 y=0 p=0.481 (36s)
14:35:16 fold 12/21 sub-12 y=0 p=0.471 (38s)
14:35:19 fold 13/21 sub-13 y=1 p=0.513 (41s)
14:35:22 fold 14/21 sub-14 y=1 p=0.526 (44s)
14:35:24 fold 15/21 sub-15 y=0 p=0.492 (46s)
14:35:28 fold 16/21 sub-16 y=0 p=0.420 (50s)
14:35:32 fold 17/21 sub-17 y=1 p=0.527 (54s)
14:35:34 fold 18/21 sub-18 y=1 p=0.509 (56s)
14:35:36 fold 19/21 sub-19 y=1 p=0.512 (58s)
14:35:41 fold 20/21 sub-20 y=1 p=0.520 (62s)
14:35:42 fold 21/21 sub-21 y=0 p=0.506 (64s)
14:35:48 result: auroc=0.9712  auroc_ci_low=0.8941  auroc_ci_high=1.0000  (64s)
