subject	n_slices	fov_ap_mm	brain_at_ap_edge	ap_margin_mm	brain_ml	brain_centre_ap	label
sub_01	191	162.3500	0.1624	0.0000	1734.0690	119.5000	0
sub_02	121	145.2000	0.2886	0.0000	1431.6450	119.0000	0
sub_03	124	148.8000	0.2043	0.0000	1462.6470	119.5000	0
sub_04	124	148.8000	0.1814	0.0000	1350.5210	119.5000	0
sub_05	115	138.0000	0.1867	0.0000	1349.4190	119.5000	0
sub_06	131	157.2000	0.2590	0.0000	1803.6350	119.0000	0
sub_07	123	147.6000	0.2817	0.0000	1870.9770	119.0000	0
sub_08	192	163.2000	0.1410	0.0000	1724.6870	119.0000	0
sub_09	138	165.6000	0.1589	0.0000	1774.9440	119.0000	0
sub_10	129	154.8000	0.2685	0.0000	1796.5690	119.5000	0
sub_11	123	147.6000	0.2389	0.0000	1768.1400	119.0000	0
sub_12	124	148.8000	0.2062	0.0000	1788.1030	119.5000	0
sub_13	127	152.4000	0.2916	0.0000	1746.4700	119.5000	0
sub_14	125	150.0000	0.3155	0.0000	1580.9300	119.5000	0
sub_15	189	160.6500	0.1802	0.0000	1803.8930	119.5000	0
sub_16	113	135.6000	0.3249	0.0000	1499.1710	119.0000	0
sub_17	111	133.2000	0.2502	0.0000	1476.0500	119.0000	0
sub_18	174	147.9000	0.1372	0.0000	1268.8070	119.0000	0
sub_19	120	144.0000	0.1288	0.0000	1196.2550	119.5000	0
sub_20	119	142.8000	0.2203	0.0000	1678.6750	119.5000	0
sub_21	194	164.9000	0.1280	0.0000	1943.4910	119.5000	0
sub_22	196	166.6000	0.1152	0.0000	1909.8120	119.5000	0
sub_23	191	162.3500	0.1694	0.0000	1768.3520	119.5000	0
sub_24	118	141.6000	0.3006	0.0000	1681.5190	119.0000	0
sub_25	248	173.6000	0.0000	0.7000	1940.4110	119.0000	1
sub_26	208	249.6000	0.0000	38.4000	1379.1990	117.0000	1
sub_27	176	211.2000	0.0000	9.6000	1437.1510	109.5000	1
sub_28	208	249.6000	0.0000	34.8000	1614.3500	119.5000	1
sub_29	208	249.6000	0.0000	30.0000	1719.0290	118.5000	1
sub_30	208	249.6000	0.0000	22.8000	1834.1620	111.0000	1
sub_31	148	177.6000	0.0023	0.0000	1580.3910	117.0000	1
sub_32	240	168.0000	0.0000	6.3000	1122.5510	117.0000	1
sub_33	141	169.2000	0.0046	0.0000	1588.0290	120.0000	1
sub_34	144	172.8000	0.0000	4.8000	1357.3410	120.0000	1
sub_35	208	249.6000	0.0000	33.6000	1644.3280	119.5000	1
sub_36	186	223.2000	0.0000	8.4000	2226.6000	119.0000	1
sub_37	208	249.6000	0.0000	32.4000	1788.8060	119.5000	1
sub_38	208	249.6000	0.0000	33.6000	1799.7050	120.5000	1
sub_39	228	159.6000	0.0000	0.7000	1469.5410	119.0000	1
sub_40	122	146.4000	0.1519	0.0000	1084.0070	119.5000	1
sub_41	136	163.2000	0.0688	0.0000	1620.2440	118.0000	1
sub_42	240	204.0000	0.0000	5.9500	1726.3230	118.0000	1
sub_43	160	192.0000	0.0000	8.4000	1322.0030	116.0000	1
sub_44	180	153.0000	0.0209	0.0000	1336.4610	119.0000	1
sub_45	170	170.0000	0.0472	0.0000	1674.6390	119.5000	1
sub_46	140	168.0000	0.1117	0.0000	1485.2830	118.0000	1
sub_47	212	159.0000	0.0000	0.7500	1582.3940	119.0000	1
sub_48	176	211.2000	0.0000	14.4000	1601.2070	116.0000	1
